package,cllable_file_class,callable,param_types,return_type,callable_location
 org.springframework.samples.petclinic         , MysqlTestApplication            , main                                  , (String[])                                                , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java:42:21:42:24                   
 org.springframework.samples.petclinic         , MysqlTestApplication            , container                             , ()                                                        , MySQLContainer<?>                 , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java:38:27:38:35                   
 org.springframework.samples.petclinic         , MysqlTestApplication            , MysqlTestApplication                  , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java:33:14:33:33                   
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , printProperties                       , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:110:15:110:29             
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , onApplicationEvent                    , (ApplicationPreparedEvent)                                , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:102:15:102:32             
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , PropertiesLogger                      , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:93:15:93:30               
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , findPropertiesPropertySources         , ()                                                        , List<EnumerablePropertySource<?>> , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:128:45:128:73             
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , <obinit>                              , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:93:15:93:30               
 org.springframework.samples.petclinic         , PostgresIntegrationTests        , <clinit>                              , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java:93:15:93:30               
 org.springframework.samples.petclinic         , PetClinicApplication            , main                                  , (String[])                                                , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/PetClinicApplication.java:37:21:37:24                   
 org.springframework.samples.petclinic         , PetClinicApplication            , PetClinicApplication                  , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/PetClinicApplication.java:35:14:35:33                   
 org.springframework.samples.petclinic         , PetClinicRuntimeHints           , registerHints                         ," (RuntimeHints, ClassLoader)                               ", void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/PetClinicRuntimeHints.java:28:14:28:26                  
 org.springframework.samples.petclinic         , PetClinicRuntimeHints           , PetClinicRuntimeHints                 , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/PetClinicRuntimeHints.java:25:14:25:34                  
 org.springframework.samples.petclinic.model   , Person                          , setLastName                           , (String)                                                  , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:50:14:50:24                           
 org.springframework.samples.petclinic.model   , Person                          , getLastName                           , ()                                                        , String                            , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:46:16:46:26                           
 org.springframework.samples.petclinic.model   , Person                          , setFirstName                          , (String)                                                  , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:42:14:42:25                           
 org.springframework.samples.petclinic.model   , Person                          , getFirstName                          , ()                                                        , String                            , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:38:16:38:27                           
 org.springframework.samples.petclinic.model   , Person                          , Person                                , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:28:14:28:19                           
 org.springframework.samples.petclinic.model   , NamedEntity                     , toString                              , ()                                                        , String                            , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:43:16:43:23                      
 org.springframework.samples.petclinic.model   , NamedEntity                     , setName                               , (String)                                                  , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:38:14:38:20                      
 org.springframework.samples.petclinic.model   , NamedEntity                     , getName                               , ()                                                        , String                            , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:34:16:34:22                      
 org.springframework.samples.petclinic.model   , NamedEntity                     , NamedEntity                           , ()                                                        , void                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:29:14:29:24                      
 org.springframework.samples.petclinic.model   , BaseEntity                      , isNew                                 , ()                                                        , boolean                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:47:17:47:21                       
